Feature,Importance
날씨_코드,4388.137081651112
검색트렌드,3862.1550621081615
인스타_좋아요수,2834.713931896456
기온,2802.1209314452185
블로그_부정수,2054.836561684592
뉴스_긍정수,1941.6000160610554
뉴스_전체수,1054.8950460724595
인스타_댓글수,1002.0435589905977
요일,672.7594843688682
유튜브_중립수,0.0
유튜브_조회수,-0.0
유튜브_부정수,-0.0
뉴스_부정수,0.0
블로그_전체수,-0.0
유튜브_댓글수,-4.900923983098396
강수량,-314.9672082599873
유튜브_긍정수,-463.1340452510623
유튜브_좋아요수,-650.9468831350084
구름량,-1882.3544473413401
풍속,-2437.8819950933826
블로그_긍정수,-3200.790172612715
습도,-4506.780109292566
월,-5617.78188554282
계절,-13572.929962269609
