date,avg_price,인스타_좋아요수,인스타_댓글수,블로그_긍정수,블로그_전체수,블로그_부정수,뉴스_긍정수,뉴스_전체수,뉴스_부정수,검색트렌드,기온,강수량,습도,풍속,구름량,날씨_코드,월,요일,계절,유튜브_조회수,유튜브_좋아요수,유튜브_댓글수,유튜브_긍정수,유튜브_부정수
2023-10-27,160000,0,0,0,0,0,0,0,0,0.172972966,0.630566698,0.006702413,0.779527559,0.135329917,0.4525,0,10,4,4,0,0,0,0,0
2023-10-28,160000,0,0,1,3,2,0,0,0,0.163963914,0.603311735,0,0.714718353,0.006085842,0.015416667,0,10,5,4,0,0,0,0,0
2023-10-29,160000,0,0,0.363636364,1.090909091,0.727272727,0,0,0,0.145945911,0.601769001,0,0.721380981,0.122677771,0.116666667,0,10,6,4,0,0,0,0,0
2023-10-30,160000,43,6,0.272727273,0.818181818,0.545454545,0,0,0,0.228828763,0.589427132,0,0.827983041,0.112267777,0.214166667,0,10,0,4,0,0,0,0,0
2023-10-31,160000,26.63636364,6.181818182,0.181818182,2.545454545,2.363636364,0,0,0,0.163963914,0.606397203,0,0.886129618,0.168321589,0.575416667,3,10,1,4,0,0,0,0,0
2023-11-01,160000,15.72727273,3.090909091,1.090909091,2,0.909090909,0,0,0,0.172972966,0.724056361,0.087131367,0.909751666,0.463805253,0.581666667,0,11,2,4,0,0,0,0,0
2023-11-02,160000,10.81818182,2.181818182,1.409090909,2.045454545,0.636363636,0,0,0,0.117117067,0.743391957,0,0.819503331,0.344170404,0.087916667,0,11,3,4,0,0,0,0,0
2023-11-03,160000,5.909090909,1.272727273,0.663636364,1.081818182,0.418181818,0,0,0,0.111711696,0.718193973,0.159517426,0.964264082,0.375080077,0.91375,3,11,4,4,0,0,0,0,0
2023-11-04,160000,2.954545455,0.636363636,1.472727273,1.690909091,0.218181818,0,0,0,0.221621603,0.70801193,0.026809651,0.813446396,0.217008328,0.628333333,1,11,5,4,73262,1333,113,71,38
2023-11-05,160000,1.672727273,0.345454545,0.636363636,1.727272727,1.090909091,0,0,0,0.401801729,0.692687442,0.415549598,0.900666263,0.47309417,0.791666667,51,11,6,4,26815.72727,491.7272727,41.09090909,25.81818182,13.81818182
