Index,Text,Sentiment
135121,신발끈 풀려서 귀찮아 하는데 다이얼이라 넘좋다하네요,1
135121,딸이 발가락이 마니 아프고,-1
135121,딱딱한 느낌때문에 마니 불편하다고 하네요,-1
135121,발목이 쓸려서 다 까졌네요.,-1
135126,정상즈를 샀는데 너무 꼭 맞아요,-1
135126,신발은 예쁩니다,1
135127,"디자인과 편함정도 좋음, ",1
135127,"편함정도 좋음, ",1
135127,홈쇼핑때 얘기한것처럼 아주 가볍지는 않고 ,-1
135127,색상도 다른 베이지에 비해 밝은편이고,-1
135127,다이얼이 약해요 걸으면서 약간 힘주면 다이얼이 풀림,-1
135133,왼쪽발등이 걸을때마다 눌려서 아프고 ,-1
135133,20분 걸었는데 왼쪽새끼발가락 발톱에 피가나서,-1
135139,오른쪽 발 뒷꿈치가 아프고,-1
135139,디자인도 홈쇼핑에서 봤던거와 다르게 예쁘지 않네요.,-1
135140,품질 정말좋네요  .  ,1
135140,디자인도 딱 제스탈입니다  . ,1
135144,신발볼이 살짝 좁은편이라 ,-1
135144,볼이넓은 딸아이에겐 그닥 편하지 않네여! ,-1
135144,보통발은 편할것 같습니다,1
135145,싸게 잘 구입했어요.,1
135145,이끄럼 방지가 되어서 비오는날 신으면 좋을것 같아요. ,1
135145,다이얼이라 신고 벗기도 편하네요,1
135148,모양도예쁘고~,1
135148,신어보니가볍고좋네요~,1
135148,흰색이없어베이지색구매햇는데괜찬네요,1
135150,착한가격입니다,1
135150,품질도 좋아요,1
135151,신어보니까  발이 편해요. ,1
135151,어디 한군데 끼어서 불편한것도 없구요. ,1
135151,흰색인데 깔끔 삽니다,1
135153,신발이 뒤꿈치 아프고 ,-1
135153,바닦에 물이 있으니깐 미끄러워서 허리랑 손목 다칠뻔했어요,-1
135157,발크고 발등드꺼운분  최고입니다 아주 편해요,1
135157,가격도저렴해서  더더욱  맘에 들구요,1
135157,엄청좋아요  신으면  더 이뻐요,1
135157,글구 절대 싸 보이지  않아요 강추,1
135163,볼이 얇은데도 엄청편해요,1
135163,다이얼이 있어 장점인데,1
135163,신고벗기도 아주 편해요,1
135169,발볼이  없는 편이라  예쁘게   맞네요,1
135169,디자인도  깔끔하고,1
135169,미끄럽지도  않고,1
135169,가성비도 좋아요,1
135173,좋아하는  색상과 스타일이라   만족함,1
135173, 스타일이라   만족함,1
135177,가볍고,1
135177,편해서  좋아요,1
135177,가성비도 좋고 ,1
135177,예쁘네요 ,1
135177,다가수는 봄에 잘신고 다닐게요~~~,1
135183,끝처리가 깔끔하지 않음,-1
135183,마무리를 잘해주심 좋을듯하네요,-1
135187,이신발은 발이 매우 편하고 ,1
135187,발을 잘 감싸주는 안정감이 있어서 무척 좋습니다 ,1
135204,발이 편하고 좋네요,1
135204,실내서 좀 돌아다녀 봤는데 아프지 않고 좋아요,1
135210,뒤꿈치가 편하다고 해서  구입했는데 불편하네요,-1
135210,오래 신으니 발 바닥도 아프고 ,-1
135220,가볍워서 신기 좋아요,1
135220,마감 처리가 조금  아쉽네요 ,-1
135227,색상 디자인 모두 맘에듭니다,1
135227,디자인 모두 맘에듭니다,1
135233,발편하고,1
135233,이쁜 데일리화입니다.,1
135233,키높이도 적당하고,1
135233,착화감도 좋으시대요.,1
135236,가볍고,1
135236,쿠션도 좋아 편하다고 합니다.,1
135237,발도 편하고,1
135237,신고 벗기도 수월해요,1
135237,다이얼을 돌려서 고정시켜 발에 잘 밀착되요,1
135238,골프할때도캐쥬얼 입을때도 너무이뻐요.,1
135238, 신발이 조금만 더 가벼웠으면 좋았을거같아요.,-1
135241,신발 이쁘고 좋은데,1
135241,바닥이 좀 미끄러워서 신을때 조심 해야 함,-1
135252,착용감도 편하고,1
135252,예뻐요,1
135252,가격대비 가성비 짱이에요,1
135255,가격도 저렴하고,1
135255,편하고,1
135255,고급스럽고 해서 컬러별로 구입해습니다,1
135261,다시금 편한 이신발로 자연스럽게 신는것같아요,1
135261,다이얼이라 끈없어서 더 좋고  ,1
135261,편해서 좋아요,1
135262,정사이즈로 딱 맞고,1
135262,편안해서 ,1
135262,이번에도 데일리로 넘 잘 신겠네요~^^ ,1
135272,색상좋고,1
135272,신고싶은디자인 ,1
135272,간편하게 끈이 아니여서 돌려서 잠그기만하면 편하게,1
135272,착용감이좋아서 만족하게 신고 있어요,1
135278,잘 맞고 ,1
135278,역시 편해서 좋아요,1
135284,키높이도 적당히 있지만,1
135284,편합니다,1
135284,칼라도 괜찮구요,1
135284,멋스럽게 잘 신을거 같아요,1
135289,가격이 너무 착하고,1
135289,"색상,디자인도 예뻐서 ",1
135289,디자인도 예뻐서,1
135289,편하게 신을것 같아서~~~^^,1
135295,가격대비 디자인 넘 좋네요,1
135295,조금의 무게감은 있지만 …,-1
135299,발볼이 넓지 앉아,1
135299,예쁘게 디자인되었어요,1
135302,가격착하고,1
135302, 너무가볍고,1
135302, 편합니다,1
135311,신발 자체는 예쁜데,1
135311,쿠션감이 부족해 발비닥 앞쪽이 아파요,-1
135316,가볍고 ,1
135316,어느 옷에든 잘 어울릴거 같습니다,1
135316,저처람 발 볼이 있으신 분들은 한 지수 크게 중순하셔야 할거 같습니다,-1
135318,다이얼이라 사이즈 조절이 쉬워,1
135318,신고 벋기가 편리하며,1
135318,바닥이 밀리지않아 ,1
135318,들녁이나 평지 뿐아니라 등산도 가능합니다,1
135321,디자인 깔끔하고,1
135321,하루종일  신고 있었는데  발도 편하고 좋으네요,1
135322,가격대비 상품 품질도 좋고 ,1
135322,발도 편해서 벌써 깔별로 세켤래를 구매했습니다.,1
135328,"디자인,  색상 모두 마음에 들고 ",1
135328,색상 모두 마음에 들고,1
135328,정 사이즈입니다~,1
135345,발바닥이 딱딱해  하루 걸어다니니 발바닥이 아프네요,-1
135345,발이 안편한 신발,-1
135349,깔끔하니 좋아요.,1
